t,TM1,TN1,TM2,TN2,TM3,TN3,TM4,TN4,R1,R2,R3,R4,RE1,RE2,RE3,RE4
0,845.625164,850.0000000000014,851.342551,849.9999999999409,850.733394,849.9999999999995,846.186565,850.0000000001766,4.3748360000013236,1.3425510000590748,0.7333940000004304,3.8134350001765824,0.005173493157780867,0.0015769809678631637,0.0008620726600987647,0.004506612557925193
5,840.709195,842.3555459517515,849.741317,849.7772920834313,850.78927,849.9778185197993,846.453703,847.4788326922314,1.646350951751515,0.03597508343136724,0.8114514802007307,1.0251296922314168,0.0019582882660769694,4.23365119615188E-05,0.0009537631806295943,0.0012110877282456838
10,827.153399,827.1632872096649,841.345802,841.3503457749624,850.82767,849.5375851325714,845.302579,845.5410495281216,0.009888209664836722,0.004543774962371572,1.290084867428618,0.2384705281215247,1.1954505266847997E-05,5.400603356634531E-06,0.0015162704657085471,0.00028211262339177684
12,821.749842,822.2568771350348,836.402986,836.4391140010771,850.625783,849.2556071058431,842.974195,844.3414763368891,0.5070351350348119,0.03612800107703151,1.370175894156887,1.3672813368890502,0.0006170188409172969,4.319449079182449E-05,0.001610785755076139,0.00162197294412915
14,815.596452,816.5584329436713,832.992235,834.9312034463857,850.352169,848.825178453492,837.573521,837.5598726969654,0.9619809436712785,1.9389684463856156,1.5269905465080456,0.013648303034642595,0.0011794815209314796,0.0023277149112747916,0.0017957154719835207,1.6295050753690905E-05
15,779.999678,780.2056956496698,831.952608,833.5697406322936,850.098345,848.5681936201858,834.516842,834.8596245656183,0.20601764966977498,1.6171326322935329,1.5301513798142423,0.34278256561833587,0.00026412530092066906,0.0019437797498839415,0.0017999698373889227,0.0004107557191977389
16,695.947786,696.7203055529363,831.025378,831.1766606904132,849.766145,848.2663160559531,832.041272,832.4074387624245,0.7725195529363873,0.15128269041315434,1.4998289440469534,0.36616676242442736,0.0011100251606179941,0.00018204340615594815,0.0017649902303968033,0.0004400824511316157
17,627.64901,627.8042734690522,806.36689,806.5174568058817,849.463394,847.9170200372322,829.124477,829.9552023615236,0.15526346905221544,0.15056680588168092,1.5463739627678024,0.830725361523605,0.00024737308046134804,0.00018672245568227748,0.0018204127142973773,0.0010019308132470017
18,580.19066,579.3267967590787,732.857248,732.8763380856379,849.290994,847.5095120085473,826.872236,828.1859308377791,0.8638632409213187,0.019090085637913035,1.7814819914526652,1.3136948377790532,0.0014889299336899335,2.604884606109952E-05,0.0020976108354360643,0.0015887519021488261
19,545.041381,545.0665044291475,652.024757,652.1028457631216,849.071712,846.9950267279876,825.191154,827.2221183971759,0.025123429147470233,0.07808876312162738,2.076685272012469,2.0309643971759215,4.609453524680217E-05,0.00011976349407485363,0.002445830243385224,0.0024612047612618025
20,517.412801,517.4392249023883,597.654455,597.6867640679305,848.767862,846.2444735643827,792.330027,792.6965031967818,0.026423902388387432,0.0323090679305551,2.523388435617335,0.3664761967818322,5.106928614313011E-05,5.405977929262671E-05,0.0029730018637502734,0.0004625297341934918
21,496.486169,496.53722323522857,558.244837,558.2736810425266,848.235144,845.0341698678645,698.646715,699.8099918643136,0.05105423522854835,0.028844042526657176,3.200974132135457,1.163276864313616,0.00010283113290221051,5.166916129787185E-05,0.003773687231397544,0.001665043060158976
